First Name,Last Name,Student No.,Phone No.,Course Code,Course Code,Course Code,Course Code
Filiberto,Johnsen,210121081,551 883-1693,SNC1D1-04,ENG1D1-03,ICS3U1-01,CGC1D1-02
Bianca,Janysek,116354317,526 873-3407,MCR3U1-04,PLF4M1-01,CGC1D1-02,SNC1D1-03
Krystin,Zeiss,323101045,601 622-1977,MCR3U1-01,ENG3U1-03,TDJ3M1-02,AMI3M1-04
Danica,Sandlan,583324171,623 544-4157,MPM1D6-F3,ICS3U1-01,CGC1D1-02,MCR3U1-04
Jacinta,Cornette,995553076,150 622-3166,ICS3U1-02,AVI3M1-03,MCR3U1-01,SCH3U1-04
Gretta,Bertozzi,126463719,112 194-6087,MHF4U1-01,TEJ4M1-04,MCV4U1-03,CLN4U1-02
Thad,Escue,428230578,506 520-1333,ENG2D6-04,CHC2D1-02,MPM2D1-03,TDJ2O1-01
Chi,Threats,412794237,219 395-6310,MCR3U1-01,TEJ3M1-03,BAF3M1-02,HSP3U1-04
Stella,Selz,325003762,693 181-3188,ENG1D1-01,SNC1D8-03,BTT1O1-04,MPM1D1-G2
Vernice,Goergen,183952030,226 553-2237,CHC2D1-03,ENG2D6-01,SNC2D1-04,TGJ2OP-02
Risa,Muscato,921733616,585 798-1806,SBI4U1-04,SCH4U6-02,ENG4U1-01,ICS4U1-03
Hermina,Mcgary,224113734,626 124-2318,THJ3M1-03,BAF3M1-02,ICS3U1-04,MCR3U1-01
Isreal,Nagarajan,953662893,209 889-6562,CIA4U1-01,BAT4M1-04,PSK4U1-02,ICS4U1-03
Dewitt,Mcmorris,535397824,277 619-5605,ICS4U1-01,SCH4U6-02,TEJ4M1-04,MCV4U1-03
Rashad,Bossen,407168939,299 885-2641,FSF1D1-01,SNC1D1-04,MPM1D1-G2,ENG1D1-03
Catharine,Tiff,776488281,254 462-1902,AMS1O1/2-01,ENG1D1-03,MPM1D1-G2,FSF1P2-04
Tobias,Schierbrock,800665948,827 878-4121,ENG1D1-01,SNC1D1-04,CGC1D1-02,MPM1D6-F3
Debrah,Gonsalves,162800956,653 198-6406,MPM2D1-03,ENG2D1-02,TDJ2O1-01,SNC2D1-04
Shemika,Quesinberry,473432575,471 738-4539,ICS3U1-04,TEJ3M1-03,BAF3M1-02,ENG3U6-01
Genesis,Hauschild,758681065,204 234-5553,SNC1D1-04,AVI1OP-01,CGC1D1-02,MPM1D6-F3
